Date,GPP_RO2,GPP_RO3
2015-07-11,6.21,5.64
2015-07-12,7.54,6.49
2015-07-13,9.09,8.06
2015-07-14,9.08,8.64
2015-07-15,4.28,4.42
2015-07-16,7.89,7.68
2015-07-17,8.25,8.59
2015-07-18,5.75,5.57
2015-07-19,9.44,8.71
2015-07-20,9.03,8.74
2015-07-21,8.65,8.27
2015-07-22,7.71,7.32
2015-07-23,7.78,7.66
2015-07-24,8.40,6.94
2015-07-25,10.02,9.05
2015-07-26,2.73,2.60
2015-07-27,5.95,5.26
2015-07-28,9.39,9.45
2015-07-29,8.13,6.73
2015-07-30,5.95,5.18
2015-07-31,7.78,7.22
2015-08-01,7.55,7.20
2015-08-02,6.93,5.78
2015-08-03,8.18,7.07
2015-08-04,8.87,7.67
2015-08-05,6.06,6.20
2015-08-06,5.47,4.62
2015-08-07,8.47,8.02
2015-08-08,9.76,8.49
2015-08-09,8.41,7.53
2015-08-10,9.46,9.43
2015-08-11,6.31,5.96
2015-08-12,9.70,8.87
2015-08-13,9.40,9.00
2015-08-14,9.45,8.05
2015-08-15,10.41,8.79
2015-08-16,8.70,9.23
2015-08-17,7.47,8.21
2015-08-18,7.79,8.17
2015-08-19,9.28,8.33
2015-08-20,8.37,8.29
2015-08-21,8.24,7.49
2015-08-22,8.57,8.61
2015-08-23,9.22,8.79
2015-08-24,8.28,8.44
2015-08-25,8.36,8.74
2015-08-26,6.20,6.36
2015-08-27,6.37,6.09
2015-08-28,7.70,6.57
2015-08-29,8.72,7.69
2015-08-30,8.19,6.93
2015-08-31,8.46,7.60
2015-09-01,8.66,7.17
2015-09-02,7.17,6.17
2015-09-03,7.23,6.55
2015-09-04,5.35,5.12
2015-09-05,4.78,4.53
2015-09-06,5.14,4.34
2015-09-07,6.98,4.97
2015-09-08,6.14,4.95
2015-09-09,6.20,4.46
2015-09-10,5.76,4.76
2015-09-11,5.65,4.45
2015-09-12,5.66,4.73
2015-09-13,3.17,2.66
2015-09-14,4.53,3.91
2015-09-15,4.16,3.85
2015-09-16,2.95,2.87
2015-09-17,1.75,1.32
2015-09-18,1.37,0.76
2015-09-19,3.87,2.81
2015-09-20,4.49,3.76
2015-09-21,3.52,3.14
2015-09-22,4.83,3.45
2015-09-23,2.38,1.81
2015-09-24,3.45,3.07
2015-09-25,2.37,2.20
2015-09-26,5.11,4.23
2015-09-27,4.31,3.86
2015-09-28,4.52,4.01
2015-09-29,3.42,2.77
2015-09-30,4.27,3.97
2015-10-01,2.83,2.33
2015-10-02,2.74,2.56
2015-10-03,3.85,3.27
2015-10-04,4.23,3.51
2015-10-05,3.28,2.58
2015-10-06,2.71,1.69
2015-10-07,2.81,1.81
2015-10-08,2.89,1.79
2015-10-09,2.95,2.15
2015-10-10,2.09,1.05
2015-10-11,2.68,1.70
2015-10-12,2.51,2.20
2015-10-13,2.34,1.69
2015-10-14,2.67,2.58
2015-10-15,2.31,2.23
2015-10-16,2.55,2.08
2015-10-17,1.81,1.63
2015-10-18,2.45,1.88
2015-10-19,1.89,1.65
2015-10-20,1.26,1.29
2015-10-21,1.19,1.17
2015-10-22,1.10,1.09
2015-10-23,1.42,1.59
2015-10-24,1.06,1.23
2015-10-25,0.41,0.70
2015-10-26,1.90,1.40
2015-10-27,0.92,1.21
2015-10-28,0.73,0.24
2015-10-29,0.74,0.41
2015-10-30,0.62,0.08
2015-10-31,1.14,0.70
2015-11-01,1.14,1.01
2015-11-02,0.43,0.32
2015-11-03,0.94,0.62
2015-11-04,1.05,0.78
2015-11-05,1.02,-0.06
2015-11-06,0.47,0.08
2015-11-07,0.23,0.18
2015-11-08,0.44,0.24
2015-11-09,0.17,0.18
2015-11-10,0.44,0.14
2015-11-11,0.81,0.41
2015-11-12,0.57,-0.05
2015-11-13,0.13,0.16
2015-11-14,0.41,0.39
2015-11-15,0.29,0.26
2015-11-16,0.27,0.25
2015-11-17,0.23,0.14
2015-11-18,0.15,0.17
2015-11-19,0.24,0.14
2015-11-20,0.25,0.17
2015-11-21,0.21,0.25
2015-11-22,0.04,0.17
2015-11-23,-0.10,-0.20
2015-11-24,-0.08,0.03
2015-11-25,0.10,0.09
2015-11-26,0.38,0.30
2015-11-27,0.25,0.00
2015-11-28,0.15,0.08
2015-11-29,0.16,0.05
2015-11-30,0.07,0.01
2015-12-01,-0.07,0.05
2015-12-02,0.00,-0.12
2015-12-03,-0.03,-0.02
2015-12-04,-0.03,-0.17
2015-12-05,0.08,-0.05
2015-12-06,-0.02,0.05
2015-12-07,0.21,0.11
2015-12-08,0.01,-0.03
2015-12-09,0.23,0.12
2015-12-10,0.04,-0.04
2015-12-11,0.11,-0.08
2015-12-12,0.06,-0.19
2015-12-13,-0.13,-0.22
2015-12-14,-0.38,-0.50
2015-12-15,-0.14,-0.51
2015-12-16,-0.13,-0.10
2015-12-17,0.00,-0.10
2015-12-18,0.17,-0.02
2015-12-19,0.01,0.12
2015-12-20,0.22,-0.04
2015-12-21,-0.01,0.02
2015-12-22,-0.08,0.04
2015-12-23,-0.11,-0.02
2015-12-24,-0.09,-0.23
2015-12-25,0.08,-0.18
2015-12-26,0.01,0.12
2015-12-27,-0.19,-0.52
2015-12-28,0.01,-0.53
2015-12-29,0.05,0.05
2015-12-30,0.10,0.00
2015-12-31,0.02,-0.03
2016-01-01,0.10,0.02
2016-01-02,0.13,0.11
2016-01-03,-0.45,-0.04
2016-01-04,-0.15,-0.14
2016-01-05,-0.17,-0.18
2016-01-06,-0.41,-0.15
2016-01-07,-0.55,-0.41
2016-01-08,-0.45,-0.32
2016-01-09,-0.41,-0.15
2016-01-10,-0.38,-0.26
2016-01-11,0.21,0.26
2016-01-12,0.52,0.22
2016-01-13,-0.23,-0.25
2016-01-14,-0.25,-0.15
2016-01-15,0.06,0.01
2016-01-16,0.36,0.04
2016-01-17,0.24,0.14
2016-01-18,-0.34,-0.26
2016-01-19,-0.27,-0.39
2016-01-20,-0.12,-0.25
2016-01-21,0.07,-0.32
2016-01-22,0.16,-0.19
2016-01-23,0.42,-0.07
2016-01-24,0.65,0.17
2016-01-25,0.22,-0.16
2016-01-26,0.40,0.36
2016-01-27,0.18,0.44
2016-01-28,-0.10,0.14
2016-01-29,0.06,-0.08
2016-01-30,0.16,0.67
2016-01-31,0.41,0.30
2016-02-01,0.13,0.10
2016-02-02,0.47,0.49
2016-02-03,0.20,-0.03
2016-02-04,0.06,-0.12
2016-02-05,0.01,0.02
2016-02-06,-0.12,0.02
2016-02-07,-0.20,-0.05
2016-02-08,0.15,0.29
2016-02-09,-0.33,0.09
2016-02-10,-0.65,-0.18
2016-02-11,-0.56,-0.23
2016-02-12,-0.25,0.07
2016-02-13,0.02,0.09
2016-02-14,0.19,0.17
2016-02-15,0.61,0.16
2016-02-16,0.56,0.19
2016-02-17,0.69,0.59
2016-02-18,0.73,0.52
2016-02-19,1.04,0.75
2016-02-20,0.69,0.40
2016-02-21,1.12,0.88
2016-02-22,1.31,0.62
2016-02-23,1.17,0.28
2016-02-24,1.50,0.38
2016-02-25,0.72,0.21
2016-02-26,0.51,0.25
2016-02-27,0.50,0.22
2016-02-28,0.47,0.35
2016-02-29,0.66,0.40
2016-03-01,0.71,0.63
2016-03-02,0.72,0.65
2016-03-03,0.82,0.53
2016-03-04,0.53,0.30
2016-03-05,0.30,0.38
2016-03-06,0.29,0.36
2016-03-07,0.01,0.08
2016-03-08,0.25,0.23
2016-03-09,0.30,0.30
2016-03-10,0.60,0.66
2016-03-11,0.48,0.39
2016-03-12,0.59,0.47
2016-03-13,0.49,0.41
2016-03-14,0.70,0.42
2016-03-15,1.01,0.65
2016-03-16,0.90,0.48
2016-03-17,0.74,0.57
2016-03-18,0.62,0.70
2016-03-19,0.77,0.65
2016-03-20,0.74,0.35
2016-03-21,0.76,0.34
2016-03-22,0.70,0.30
2016-03-23,0.76,0.29
2016-03-24,1.18,0.56
2016-03-25,1.19,0.80
2016-03-26,1.09,0.56
2016-03-27,1.24,1.00
2016-03-28,1.27,1.15
2016-03-29,1.23,0.96
2016-03-30,0.99,0.98
2016-03-31,1.39,1.10
2016-04-01,1.17,0.95
2016-04-02,1.18,0.55
2016-04-03,1.32,1.42
2016-04-04,0.75,0.86
2016-04-05,0.50,0.43
2016-04-06,0.32,0.25
2016-04-07,1.87,1.28
2016-04-08,1.77,1.89
2016-04-09,1.89,1.58
2016-04-10,2.08,2.05
2016-04-11,2.03,1.64
2016-04-12,1.78,1.71
2016-04-13,1.91,1.63
2016-04-14,1.79,1.50
2016-04-15,0.91,0.73
2016-04-16,1.76,1.21
2016-04-17,1.64,1.32
2016-04-18,1.93,1.71
2016-04-19,1.81,1.96
2016-04-20,2.24,2.19
2016-04-21,1.98,1.78
2016-04-22,2.09,2.37
2016-04-23,1.90,1.98
2016-04-24,1.98,2.12
2016-04-25,0.75,0.69
2016-04-26,1.52,1.79
2016-04-27,0.57,1.23
2016-04-28,2.05,2.35
2016-04-29,1.88,2.33
2016-04-30,3.49,3.36
2016-05-01,2.82,3.02
2016-05-02,2.98,4.10
2016-05-03,3.57,4.41
2016-05-04,2.53,2.52
2016-05-05,3.82,4.38
2016-05-06,4.26,3.98
2016-05-07,3.87,4.41
2016-05-08,4.18,4.00
2016-05-09,4.99,4.41
2016-05-10,3.73,2.55
2016-05-11,5.92,5.27
2016-05-12,5.14,5.60
2016-05-13,5.59,4.84
2016-05-14,3.78,3.16
2016-05-15,5.45,4.17
2016-05-16,3.43,3.28
2016-05-17,5.74,5.50
2016-05-18,3.54,3.11
2016-05-19,3.23,2.72
2016-05-20,5.94,5.95
2016-05-21,5.03,5.12
2016-05-22,5.50,6.03
2016-05-23,4.81,4.10
