Nr,Date,SWRos2,SWRos3
97,2014-04-07,25.77619573,16.97690859
98,2014-04-08,25.71746382,16.91793906
99,2014-04-09,25.67830921,16.87862604
100,2014-04-10,25.65220614,16.85241736
101,2014-04-11,26.20207682,17.40221763
102,2014-04-12,26.45329338,17.6601075
103,2014-04-13,26.73204397,17.93917143
104,2014-04-14,26.85051412,18.05629964
105,2014-04-15,26.69549426,17.89935128
106,2014-04-16,26.69396587,17.89653721
107,2014-04-17,27.13794644,18.35258421
108,2014-04-18,27.27984308,18.4896016
109,2014-04-19,27.67989539,18.88640106
110,2014-04-20,27.93714217,19.14561481
111,2014-04-21,27.19245251,18.31904009
112,2014-04-22,26.57308605,17.72959459
113,2014-04-23,26.16306676,17.33984785
114,2014-04-24,25.88260021,17.07239971
115,2014-04-25,25.68873616,16.88772745
116,2014-04-26,25.54324048,16.7520781
117,2014-04-27,25.39038532,16.60997267
118,2014-04-28,25.2560409,16.48697193
119,2014-04-29,25.12426603,16.36733828
120,2014-04-30,25.11675915,16.36979041
121,2014-05-01,24.99519967,16.25837345
122,2014-05-02,24.99769435,16.27167636
123,2014-05-03,24.93333001,16.21576756
124,2014-05-04,24.99791492,16.28880858
125,2014-05-05,24.98928017,16.2885828
126,2014-05-06,24.88123984,16.18932008
127,2014-05-07,24.75493494,16.07171677
128,2014-05-08,24.62747994,15.95283796
129,2014-05-09,25.8531799,17.19565525
130,2014-05-10,25.87159126,17.17329161
131,2014-05-11,25.87595614,17.14995614
132,2014-05-12,25.78397076,17.03330409
133,2014-05-13,25.73846245,16.97238448
134,2014-05-14,25.6923083,16.91492299
135,2014-05-15,25.66153887,16.87661532
136,2014-05-16,25.64102591,16.85107688
137,2014-05-17,25.62735061,16.83405126
138,2014-05-18,25.58955393,16.76207897
139,2014-05-19,25.8143693,17.01049545
140,2014-05-20,25.68929437,16.88794411
141,2014-05-21,25.44895953,16.66596397
142,2014-05-22,25.23570301,16.47197327
143,2014-05-23,24.97142798,16.23087705
144,2014-05-24,25.53965359,16.82399828
145,2014-05-25,27.10565294,18.46206112
146,2014-05-26,26.88246792,18.19638047
147,2014-05-27,26.45497862,17.73092032
148,2014-05-28,26.16998574,17.42061354
149,2014-05-29,25.9799905,17.21374236
150,2014-05-30,26.04240004,17.27710814
151,2014-05-31,28.12535673,19.39697644
152,2014-06-01,27.28357116,18.53131763
153,2014-06-02,26.72238077,17.95421175
154,2014-06-03,26.34825385,17.5694745
155,2014-06-04,26.0988359,17.312983
156,2014-06-05,26.40379476,17.64333575
157,2014-06-06,26.13586317,17.36222384
158,2014-06-07,26.25490946,17.49132262
159,2014-06-08,26.20870574,17.44381738
160,2014-06-09,26.25582892,17.49490565
161,2014-06-10,26.01503068,17.23571574
162,2014-06-11,26.25102143,17.48809357
163,2014-06-12,25.90820083,17.15043619
164,2014-06-13,25.64306939,16.88939117
165,2014-06-14,25.28092554,16.5625922
166,2014-06-15,24.94447325,16.25986469
167,2014-06-16,25.01941451,16.36429607
168,2014-06-17,24.99101843,16.36232587
169,2014-06-18,24.71718648,16.11665133
170,2014-06-19,25.68643301,17.06044744
171,2014-06-20,26.2624961,17.61520303
172,2014-06-21,26.1812082,17.49146679
173,2014-06-22,25.98747213,17.26097786
174,2014-06-23,25.85831475,17.10731858
175,2014-06-24,25.77220984,17.00487905
176,2014-06-25,25.5146129,16.78425098
177,2014-06-26,25.24038975,16.53557167
178,2014-06-27,24.94669777,16.26831799
179,2014-06-28,24.64594021,15.99420442
180,2014-06-29,24.38666012,15.7600452
181,2014-06-30,24.76864597,16.16464678
182,2014-07-01,24.70615469,16.10581529
183,2014-07-02,25.21512053,16.64459574
184,2014-07-03,25.62365394,16.99298255
185,2014-07-04,25.6157693,16.92865503
186,2014-07-05,25.62500664,16.90110032
187,2014-07-06,25.54179103,16.80411078
188,2014-07-07,25.18687887,16.47026678
189,2014-07-08,24.77711579,16.08345162
190,2014-07-09,24.33960975,15.67117968
191,2014-07-10,23.89056205,15.25603941
192,2014-07-11,23.41398001,14.81407124
193,2014-07-12,22.94529982,14.37452739
194,2014-07-13,22.48956758,13.95136503
195,2014-07-14,25.47995194,16.98134766
196,2014-07-15,25.62180729,17.0282178
197,2014-07-16,30.46151585,21.81716354
198,2014-07-17,28.87039392,20.17573149
199,2014-07-18,28.59489844,19.88659998
200,2014-07-19,27.64029108,18.90375327
201,2014-07-20,26.96019405,18.20250218
202,2014-07-21,26.49511196,17.70115527
203,2014-07-22,25.89349534,17.11258205
204,2014-07-23,25.45405162,16.69553388
205,2014-07-24,25.04776523,16.30770477
206,2014-07-25,24.63387589,15.91353528
207,2014-07-26,24.20315329,15.50854454
208,2014-07-27,23.79156467,15.12156062
209,2014-07-28,23.51045078,14.86297824
210,2014-07-29,23.09332183,14.47132202
211,2014-07-30,23.07183381,14.47188781
212,2014-07-31,22.68052267,14.10786715
213,2014-08-01,23.18195442,14.63518972
214,2014-08-02,22.73909362,14.22342926
215,2014-08-03,22.33514669,13.8482355
216,2014-08-04,21.91436635,13.4570535
217,2014-08-05,21.48537767,13.05839955
218,2014-08-06,21.05867354,12.66294828
219,2014-08-07,24.22685182,15.95864778
220,2014-08-08,27.06256092,18.63281702
221,2014-08-09,26.57504061,18.02187801
222,2014-08-10,26.32304648,17.69147828
223,2014-08-11,26.46001378,17.79235291
224,2014-08-12,26.66729731,17.98172674
225,2014-08-13,26.31153154,17.58781783
226,2014-08-14,26.08867189,17.34028893
227,2014-08-15,25.9016121,17.12264961
228,2014-08-16,25.49672783,16.74208992
229,2014-08-17,25.14517406,16.4135911
230,2014-08-18,26.96647732,18.29710283
231,2014-08-19,28.71068439,20.00258853
232,2014-08-20,27.70314053,18.96596697
233,2014-08-21,28.12956466,19.38379941
234,2014-08-22,28.03642733,19.27221839
235,2014-08-23,27.22428489,18.44814559
236,2014-08-24,28.5398259,19.77040243
237,2014-08-25,28.13438527,19.35867554
238,2014-08-26,27.28959018,18.50578369
239,2014-08-27,26.72639345,17.93718913
240,2014-08-28,26.39459744,17.60411108
241,2014-08-29,26.14404915,17.3511511
242,2014-08-30,25.96269944,17.16743407
243,2014-08-31,25.84179962,17.04495604
244,2014-09-01,25.76119975,16.96330403
245,2014-09-02,25.59024325,16.75975705
246,2014-09-03,25.39118388,16.57618522
247,2014-09-04,25.08878869,16.29274964
248,2014-09-05,24.82964944,16.04935644
249,2014-09-06,24.53684927,15.77228581
250,2014-09-07,24.44652463,15.68536324
251,2014-09-08,24.32705045,15.57459532
252,2014-09-09,24.32469911,15.57716009
253,2014-09-10,24.12589312,15.39128883
254,2014-09-11,23.8626244,15.14323388
255,2014-09-12,23.81345216,15.10748419
256,2014-09-13,23.54623871,14.8566937
257,2014-09-14,23.29297155,14.61847289
258,2014-09-15,23.03971618,14.37923288
259,2014-09-16,22.87617749,14.22365037
260,2014-09-17,22.78648095,14.14139309
261,2014-09-18,22.82771475,14.18094283
262,2014-09-19,22.67363121,14.03214486
263,2014-09-20,22.50230504,13.86490783
264,2014-09-21,22.56283434,13.92943811
265,2014-09-22,22.44856744,13.81947727
266,2014-09-23,22.26134363,13.6437943
267,2014-09-24,22.10196491,13.49293385
268,2014-09-25,21.95310488,13.35258794
269,2014-09-26,22.65108447,14.087594
270,2014-09-27,22.65108447,14.087594
271,2014-09-28,22.76061358,14.20293342
272,2014-09-29,22.76061358,14.20293342
273,2014-09-30,22.76061358,14.20293342
274,2014-10-01,22.7457913,14.17427321
275,2014-10-02,22.70307391,14.13851339
276,2014-10-03,22.72354688,14.1632805
