Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2015-02-19	1.8	7.6	-2	NaN	6.4	0	400.683656521739
2015-02-20	0.7	4.3	-4.6	NaN	5.4	0	399.6355508
2015-02-21	-3.6	1.2	-6.3	NaN	4.3	0	401.9635274375
2015-02-22	-4.6	-1.1	-10.4	NaN	4.2	0	401.491461458333
2015-02-23	-5.6	0	-12.7	NaN	4.1	0	399.805332547619
2015-02-24	-0.3	0.6	-0.9	NaN	5.7	0	402.319374404762
2015-02-25	0.3	1	-0.8	NaN	6	0	401.561242166667
2015-02-26	0.2	0.8	-0.5	NaN	5.9	0	399.180579854167
2015-02-27	-0.3	0.6	-1	NaN	5.7	0	399.515040285714
2015-02-28	-0.3	0.9	-1	NaN	5.6	0	400.103833333333
2015-03-01	0.1	0.7	-0.3	NaN	5.6	0	398.595361458333
2015-03-02	0.4	0.9	-0.1	NaN	6	0	401.726323270833
2015-03-03	0.1	0.9	-0.5	NaN	5.9	0	398.543658333333
2015-03-04	-1.1	0.8	-5.6	NaN	5.1	0	399.18915625
2015-03-05	-3.9	1	-9.8	NaN	3.9	0	399.617934708333
2015-03-06	-0.1	6.2	-4.2	NaN	5.1	0	397.867078645833
2015-03-07	0.6	3.4	-5.1	NaN	5.6	0	397.951330729167
2015-03-08	3.5	8.7	-2.1	NaN	5.8	0	398.698620833333
2015-03-09	0.1	5.9	-4.8	NaN	4.2	0	397.623563541667
2015-03-10	-0.6	1.3	-3.9	NaN	5.4	0	398.488920478261
2015-03-11	-1.3	4.7	-6.9	NaN	3.7	0	397.893829166667
2015-03-12	-0.3	6.8	-8	NaN	3.8	0	397.578039583333
2015-03-13	-2.1	5.3	-7.9	NaN	4.2	0	398.416261979167
2015-03-14	-1.2	7.7	-7.5	NaN	4.2	0	397.7697171875
2015-03-15	-0.8	7.8	-6.9	NaN	4.1	0	398.402934208333
2015-03-16	-0.9	8.5	-7.5	NaN	3.7	0	400.019707125
2015-03-17	-0.5	8.1	-6.4	NaN	4.3	0	401.406199145833
2015-03-18	-0.8	4.4	-5	NaN	4.6	0	402.343856770833
2015-03-19	1.3	6.6	-3.8	NaN	4.5	0	399.954238541667
